# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.000000e+01
# lRef        : 7.000000e-01
# Aref        : 1.820000e-01
# CofR        : (7.200000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
253           	1.547818e-03	5.468628e-02	1.744923e-03	2.420280e-03	-6.753571e-04
254           	1.547012e-03	5.468928e-02	1.744968e-03	2.419496e-03	-6.745280e-04
255           	1.547569e-03	5.468414e-02	1.744856e-03	2.419997e-03	-6.751404e-04
256           	1.546688e-03	5.468782e-02	1.744155e-03	2.418765e-03	-6.746103e-04
257           	1.546464e-03	5.468495e-02	1.744097e-03	2.418513e-03	-6.744152e-04
258           	1.546237e-03	5.468654e-02	1.743927e-03	2.418200e-03	-6.742733e-04
259           	1.546065e-03	5.468488e-02	1.743403e-03	2.417767e-03	-6.743632e-04
260           	1.545395e-03	5.468785e-02	1.743204e-03	2.416997e-03	-6.737933e-04
261           	1.544913e-03	5.468505e-02	1.743369e-03	2.416597e-03	-6.732283e-04
262           	1.544664e-03	5.468688e-02	1.742427e-03	2.415878e-03	-6.734503e-04
263           	1.545281e-03	5.468604e-02	1.742596e-03	2.416579e-03	-6.739832e-04
264           	1.544013e-03	5.468594e-02	1.742140e-03	2.415083e-03	-6.729429e-04
265           	1.544802e-03	5.468655e-02	1.741987e-03	2.415795e-03	-6.738082e-04
266           	1.543748e-03	5.469133e-02	1.742190e-03	2.414843e-03	-6.726533e-04
267           	1.545138e-03	5.468480e-02	1.742274e-03	2.416274e-03	-6.740007e-04
268           	1.543049e-03	5.469056e-02	1.741278e-03	2.413688e-03	-6.724100e-04
269           	1.543236e-03	5.468774e-02	1.741746e-03	2.414109e-03	-6.723628e-04
270           	1.543353e-03	5.468822e-02	1.741118e-03	2.413912e-03	-6.727946e-04
271           	1.543119e-03	5.468875e-02	1.740775e-03	2.413506e-03	-6.727310e-04
272           	1.542434e-03	5.468808e-02	1.740674e-03	2.412771e-03	-6.720969e-04
273           	1.544043e-03	5.468907e-02	1.741817e-03	2.414952e-03	-6.731351e-04
